Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.04    633.13     0.26  8692388     0.00     0.00  R_DecalSystem_SpawnTriangle
  0.04    633.38     0.25 40214138     0.00     0.00  RSurf_SetupDepthAndCulling
  0.04    633.63     0.25   560468     0.00     0.00  VM_CL_setmodel
  0.04    633.88     0.25 22712183     0.00     0.00  RGBstring_to_colorindex
  0.04    634.12     0.25 51787202     0.00     0.00  VM_bound
  0.04    634.36     0.24   451834     0.00     0.00  R_DecalSystem_SplatEntity
  0.04    634.60     0.24  7589087     0.00     0.00  Collision_ClipToWorld
  0.04    634.84     0.24  6634950     0.00     0.00  Collision_ClipLineToGenericEntity
  0.04    635.08     0.24 17680200     0.00     0.00  VM_max
  0.04    635.32     0.24       24     0.01     0.01  Image_HeightmapToNormalmap_BGRA
  0.03    635.55     0.23  3900341     0.00     0.00  R_Shadow_RenderLighting
  0.03    635.77     0.22 55909972     0.00     0.00  Matrix4x4_OriginFromMatrix
  0.03    635.99     0.22 20029946     0.00     0.00  CL_UpdateRenderEntity
  0.03    636.21     0.22 20196101     0.00     0.00  Matrix4x4_TransformStandardPlane
  0.03    636.43     0.22  1121297     0.00     0.00  CL_UpdateNetworkEntity
  0.03    636.65     0.22   184056     0.00     0.00  R_CompileShader_CheckStaticParms
  0.03    636.86     0.22                             VM_buf_implode
  0.03    637.07     0.21 20967971     0.00     0.00  VM_UpdateEdictSkeleton
  0.03    637.27     0.21   373026     0.00     0.00  VM_CL_setsize
  0.03    637.47     0.20  8274462     0.00     0.00  R_AnimCache_GetEntity
  0.03    637.67     0.20   200687     0.00     0.00  Sys_SDL_HandleEvents
  0.03    637.87     0.20  6301230     0.00     0.00  R_Mesh_PrepareVertices_Generic_Arrays
  0.03    638.07     0.20   208324     0.00     0.00  CL_UpdateScreen
  0.03    638.26     0.19  2787233     0.00     0.00  R_Viewport_InitRectSideView
  0.03    638.45     0.19   184027     0.00     0.00  CL_RelinkLightFlashes
  0.03    638.63     0.18 29206845     0.00     0.00  VM_floor
  0.03    638.81     0.18  9202712     0.00     0.00  VM_min
  0.03    638.99     0.18  6122089     0.00     0.00  R_SetViewport
  0.03    639.17     0.18  1305943     0.00     0.00  R_DrawSurface_TransparentCallback
  0.03    639.35     0.18   184050     0.00     0.00  R_Shadow_UpdateBounceGridTexture
  0.03    639.53     0.18 39369637     0.00     0.00  VM_str2chr
